tdat,season,visitID,surveyID,date,dts,dtf,bidID,trmt,area,observer,approach,wind,heat,precip,clouds,dry,moist,flooded,green,dead,straw,bare,residue,stub50,stub200,veg50,veg200,water50,water200,program,ID,IDNUM,comments,cover,clods,levee,American.Avocet,Baird.s.Sandpiper,Bar.tailed.Godwit,Black.bellied.Plover,Black.necked.Stilt,Dunlin,Greater.Yellowlegs,Killdeer,Least.Sandpiper,Lesser.Yellowlegs,Long.billed.Curlew,Long.billed.Dowitcher,Marbled.Godwit,Pectoral.Sandpiper,Red.necked.Phalarope,Semipalmated.Plover,Solitary.sandpiper,Unidentified.Dowitcher,Unidentified.Peep,Unidentified.Phalarope,Unidentified.Plover,Unidentified.shorebird,Unidentified.Yellowlegs,Western.Sandpiper,Whimbrel,Wilson.s.Phalarope,Wilson.s.Snipe,American.Bittern,Caspian.Tern,Cattle.Egret,Forster.s.Tern,Great.Blue.Heron,Great.Egret,Green.Heron,Sandhill.Crane,Snowy.Egret,White.faced.Ibis,American.Wigeon,Blue.winged.Teal,Bufflehead,Cackling.Goose,Canada.Goose,Canvasback,Cinnamon.Teal,Common.Gallinule,Eared.Grebe,Eurasian.Wigeon,Gadwall,Goldeneye,Greater.White.fronted.Goose,Green.winged.Teal,Horned.Grebe,Lesser.Scaup,Mallard,Mute.Swan,Northern.Pintail,Northern.Shoveler,Pied.billed.Grebe,Redhead,Ross.s.Goose,Ruddy.Duck,Snow.Goose,Sora,Trumpeter.Swan,Tundra.Swan,Unidentified.dabbling.duck,Unidentified.dark.Goose,Unidentified.diving.duck,Unidentified.duck,Unidentified.Grebe,Unidentified.Swan,Unidentified.white.Goose,Wood.Duck,Virginia.Rail,American.Coot,Cooper.s.Hawk,Sharp.shinned.Hawk,Red.shouldered.Hawk,Red.tailed.Hawk,Swainson.s.Hawk,Unidentified.Buteo,Double.crested.Cormorant,American.Crow,Common.Raven,Bald.Eagle,Golden.Eagle,American.Kestrel,Merlin,Peregrine.Falcon,Prairie.Falcon,California.Gull,Franklin.s.Gull,Herring.Gull,Ring.billed.Gull,Unidentified.Gull,Unidentified.small.Gull,Northern.Harrier,Belted.Kingfisher,White.tailed.Kite,American.White.Pelican,Turkey.Vulture,stubx,vegx,waterx,totbirds,shorebirds,wadingbirds,waterfowl,density,dens.shore,dens.wader,dens.wfowl,logdens.shore,logdens.wader,logdens.wfowl,richness,rich.shore,rich.wader,rich.wfowl,diversity,div.shore,div.wader,div.wfowl,waterxcm,stubxcm,vegxcm,date1,date2,date3,tdat2
t1,t1.spring2014,A100,M096,2/3/2014,2/3/2014 13:28,2/3/2014 13:33,253,Treatment,11.58,Simon Avery,Truck,air felt on face,light,none,10,0,20,10,0,10,30,50,yes,5,5,NA,NA,0,NA,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,NA,2/3/2014,2/1/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1000,M034,2/13/2014,2/13/2014 15:09,2/13/2014 15:17,229,Treatment,13.2,Greg Golet,On foot,smoke drifts,none,none,100,0,0,100,0,30,0,0,yes,3,3,NA,NA,5,7,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,6,33,0,0,2,2.5,0,0,0.151515152,0,0,0.141078598,2,0,0,1,0.228631874,0,0,0,15.24,7.62,NA,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1003,M121,2/13/2014,2/13/2014 15:31,2/13/2014 15:53,229,Treatment,14.02,Greg Golet,Truck,smoke drifts,none,none,100,0,0,100,0,60,0,0,yes,3,3,NA,NA,3,3,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NA,3,91,0,39,0,6.490727532,0,2.781740371,0,0,1.330184319,0,4,0,2,0,0.901336928,0,0.382960431,0,7.62,7.62,NA,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1006,C014,2/13/2014,2/13/2014 16:28,2/13/2014 16:42,0,Control,6.08,Greg Golet,Truck,air felt on face,none,light rain,100,0,0,70,0,0,30,0,yes,NA,NA,NA,NA,3,1,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,NA,NA,2,7,0,0,0,1.151315789,0,0,0,0,0,0,2,0,0,0,0.410116318,0,0,0,5.08,NA,NA,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1009,M095,2/13/2014,2/13/2014 11:26,2/13/2014 11:29,224,Treatment,6.21,Simon Avery,ATV,air felt on face,none,none,100,0,0,100,0,0,0,0,,1,1,1,1,7,9,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,10,0,0,0,1.610305958,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.32,2.54,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1012,M085,2/13/2014,2/13/2014 11:36,2/13/2014 11:38,234,Treatment,6.35,Simon Avery,ATV,air felt on face,none,none,100,0,0,100,0,0,0,0,yes,1,1,1,1,7,9,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,26,0,0,0,4.094488189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.32,2.54,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1015,M006,2/13/2014,2/13/2014 11:45,2/13/2014 11:48,234,Treatment,4.59,Simon Avery,ATV,air felt on face,none,none,100,0,0,100,0,0,0,0,yes,1,1,1,1,7,7,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,44,0,0,0,9.586056645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.78,2.54,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1018,M132,2/13/2014,2/13/2014 11:57,2/13/2014 12:00,234,Treatment,13.33,Simon Avery,ATV,air felt on face,none,none,100,0,0,100,0,0,0,0,yes,1,1,1,1,13,11,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,8,0,0,0,0.600150038,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.48,2.54,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1021,M029,2/13/2014,2/13/2014 12:38,2/13/2014 12:50,217,Treatment,11.7,Simon Avery,Truck,air felt on face,none,none,100,0,0,100,0,20,0,0,,11,11,1,1,11,11,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,11,135,0,2,104,11.53846154,0,0.170940171,8.888888889,0,0.157806991,2.291411792,6,0,2,2,0.784787512,0,0.693147181,0.19281345,27.94,27.94,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1024,M097,2/13/2014,2/13/2014 12:56,2/13/2014 13:25,217,Treatment,16.09,Simon Avery,Truck,smoke drifts,none,none,100,0,0,80,0,10,0,20,yes,7,9,1,1,5,5,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,38,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,201,4,10,133,12.4922312,0.248601616,0.62150404,8.266003729,0.222024218,0.483354138,2.226352189,9,1,1,5,1.484501667,0,0,0.916041221,12.7,20.32,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
